value
0.99
1.07
1.13
1.17
1.19
1.22
1.23
1.23
1.26
1.27
1.28
1.28
1.28
1.28
1.27
1.27
1.27
1.27
1.28
1.28
1.29
1.3
1.32
1.33
1.34
1.36
1.38
1.4
1.41
1.43
